"Title"	"Authors"	"Author_Affiliation"	"Correspondence_Author"	"Publish_Date"	"Abstract"	"Keywords"	"Full_Paper"
"Une nouvelle anomalie a allure héréditaire chez des agneaux khouzistans"	"Authors: H. Amini and D. Bozorg Tchami"	""	"No Co-Author"	"15 October 1972"	"(To access the full article  please see PDF)"	"Full Article"	"                                                   Research                                            Open Access                                                              Published: 15 October 1972                         Une nouvelle anomalie a allure héréditaire chez des agneaux khouzistans                         H. Amini & D. Bozorg Tchami                                   Annales de génétique et de sélection animale                              volume 4  Article number: 599 (1972)             Cite this article                                                                                                      703 Accesses                                                                                                              Metrics details                                                                                                                                      Amini  H.  Tchami  D.B. Une nouvelle anomalie a allure héréditaire chez des agneaux .                      599 (1972). https://doi.org/10.1186/1297-9686-4-4-599  Published  Full Article"
"Observations sur les caractères de reproduction des produits males et femelles issus d'un bouc porteur d'une « fusion centrique »"	"Authors: G. Ricordeau  R. Mollaret and P. Guillimin"	""	"No Co-Author"	"15 October 1972"	"(To access the full article  please see PDF)"	"Full Article"	"                                                   Research                                            Open Access                                                              Published: 15 October 1972                         Observations sur les caractères de reproduction des produits males et femelles issus d'un bouc porteur d'une « fusion centrique »                         G. Ricordeau  R. Mollaret & P. Guillimin                                   Annales de génétique et de sélection animale                              volume 4  Article number: 593 (1972)             Cite this article                                                                                                      1002 Accesses                                                                                                     2 Citations                                                                                             Metrics details                                                                                                                                      Ricordeau  G.  Mollaret  R. & Guillimin  P. Observations sur les caractères de reproduction des produits males et femelles issus d'un bouc porteur d'une « fusion centrique ».                      593 (1972). https://doi.org/10.1186/1297-9686-4-4-593  Published  Full Article"
"Influence of fitness deterioration on selection limits"	"Authors: F. Orozco"	""	"No Co-Author"	"15 October 1972"	"(To access the full article  please see PDF)"	"Full Article  Selection Limit  Fitness Deterioration"	"                                                   Research                                            Open Access                                                              Published: 15 October 1972                         Influence of fitness deterioration on selection limits                         F. Orozco                                   Annales de génétique et de sélection animale                              volume 4  Article number: 569 (1972)             Cite this article                                                                                                      1308 Accesses                                                                                                     3 Citations                                                                                             Metrics details                                                                                                                                      Orozco  F. Influence of fitness deterioration on selection limits.                      569 (1972). https://doi.org/10.1186/1297-9686-4-4-569  Published  Full Article  Selection Limit  Fitness Deterioration"
"Selection plateaux in poultry"	"Authors: G. A. Clayton"	""	"No Co-Author"	"15 October 1972"	"(To access the full article  please see PDF)"	"Full Article  Selection Plateau"	"                                                   Research                                            Open Access                                                              Published: 15 October 1972                         Selection plateaux in poultry                         G. A. Clayton                                   Annales de génétique et de sélection animale                              volume 4  Article number: 561 (1972)             Cite this article                                                                                                      836 Accesses                                                                                                     1 Citations                                                                                             Metrics details                                                                                                                                      Clayton  G.A. Selection plateaux in poultry.                      561 (1972). https://doi.org/10.1186/1297-9686-4-4-561  Published  Full Article  Selection Plateau"
"Gènes a effet visible: relation avec la ponte  le poids des œufs et le poids des poules adultes"	"Authors: P. Mérat  G. Coquerelle and L. Durand"	""	"No Co-Author"	"15 October 1972"	"(To access the full article  please see PDF)"	"Full Article"	"                                                   Research                                            Open Access                                                              Published: 15 October 1972                         Gènes a effet visible: relation avec la ponte  le poids des œufs et le poids des poules adultes                         P. Mérat  G. Coquerelle & L. Durand                                   Annales de génétique et de sélection animale                              volume 4  Article number: 555 (1972)             Cite this article                                                                                                      932 Accesses                                                                                                     2 Citations                                                                                             Metrics details                                                                                                                                      Mérat  P.  Coquerelle  G. & Durand  L. Gènes a effet visible: relation avec la ponte  le poids des œufs et le poids des poules adultes.                      555 (1972). https://doi.org/10.1186/1297-9686-4-4-555  Published  Full Article"
"Étude génétique des groupes sanguins dans deux populations aviaires. II. – Effets quantitatifs associés aux facteurs antigéniques: souche M II"	"Authors: A. Perramon  P. Mérat  L. Durand and J.-L. Monvoisin"	""	"No Co-Author"	"15 October 1972"	"(To access the full article  please see PDF)"	"Full Article"	"                                                   Research                                            Open Access                                                              Published: 15 October 1972                         Étude génétique des groupes sanguins dans deux populations aviaires. II. – Effets quantitatifs associés aux facteurs antigéniques: souche M II                         A. Perramon  P. Mérat  L. Durand & J.-L. Monvoisin                                   Annales de génétique et de sélection animale                              volume 4  Article number: 543 (1972)             Cite this article                                                                                                      970 Accesses                                                                                                              Metrics details                                                                                                                                      Perramon  A.  Mérat  P.  Durand  L.  Étude génétique des groupes sanguins dans deux populations aviaires. II. – Effets quantitatifs associés aux facteurs antigéniques: souche M II.                      543 (1972). https://doi.org/10.1186/1297-9686-4-4-543  Published  Full Article"
"Pénétrance de l'effet de stérilité totale lié au gène sans cornes p  chez les boucs"	"Authors: G. Ricordeau  J. Bouillon  Françoise Hulot  P. Guillimin and A. Lajous"	"Station de Testage Caprin  48  Moissac  FranceJ. Bouillon"	"No Co-Author"	"15 October 1972"	"(To access the full article  please see PDF)"	"Full Article"	"                                                   Research                                            Open Access                                                              Published: 15 October 1972                         Pénétrance de l'effet de stérilité totale lié au gène sans cornes p  chez les boucs                         G. Ricordeau  J. Bouillon1  Françoise Hulot  P. Guillimin & A. Lajous                                   Annales de génétique et de sélection animale                              volume 4  Article number: 537 (1972)             Cite this article                                                                                                      1193 Accesses                                                                                                     2 Citations                                                                                             Metrics details                                                                                                                                     Correspondence to                 J. Bouillon.  Ricordeau  G.  Bouillon  J.  Hulot  F.  Pénétrance de l'effet de stérilité totale lié au gène sans cornes   chez les boucs.                      537 (1972). https://doi.org/10.1186/1297-9686-4-4-537  Published  Full Article"
"Les mutants géniques a effets visibles dans les races bovines de suisse"	"Authors: J.-J. Lauvergne and H.U. Winzenried"	""	"No Co-Author"	"15 October 1972"	"(To access the full article  please see PDF)"	"Full Article"	"                                                   Research                                            Open Access                                                              Published: 15 October 1972                         Les mutants géniques a effets visibles dans les races bovines de suisse                         J.-J. Lauvergne & H.U. Winzenried                                   Annales de génétique et de sélection animale                              volume 4  Article number: 523 (1972)             Cite this article                                                                                                      802 Accesses                                                                                                     1 Citations                                                                                             Metrics details                                                                                                                                      Lauvergne  J.  Winzenried  H. Les mutants géniques a effets visibles dans les races bovines de suisse.                      523 (1972). https://doi.org/10.1186/1297-9686-4-4-523  Published  Full Article"
"Localisation des substitutions d'acides aminés différenciant les variants a et b de la caséine × bovine"	"Authors: F. Grosclaude  Marie-Françoise Mahé  J.-C. Mercier and B. Ribadeau-Dumas"	""	"No Co-Author"	"15 October 1972"	"(To access the full article  please see PDF)"	"Full Article"	"                                                   Research                                            Open Access                                                              Published: 15 October 1972                         Localisation des substitutions d'acides aminés différenciant les variants a et b de la caséine × bovine                         F. Grosclaude  Marie-Françoise Mahé  J.-C. Mercier & B. Ribadeau-Dumas                                   Annales de génétique et de sélection animale                              volume 4  Article number: 515 (1972)             Cite this article                                                                                                      2071 Accesses                                                                                                     15 Citations                                                                                             Metrics details                                                                                                                                      Grosclaude  F.  Mahé  M.  Mercier  J.  Localisation des substitutions d'acides aminés différenciant les variants a et b de la caséine × bovine.                      515 (1972). https://doi.org/10.1186/1297-9686-4-4-515  Published  Full Article"
"Polymorphisme de l'adénosine déaminase (ada) dans l'espèce bovine"	"Authors: M. Ansay  R. Hanset  Viviane Baldfwijns-Rouma and Jacqueline Roupain"	""	"No Co-Author"	"15 October 1972"	"(To access the full article  please see PDF)"	"Full Article"	"                                                   Research                                            Open Access                                                              Published: 15 October 1972                         Polymorphisme de l'adénosine déaminase (ada) dans l'espèce bovine                         M. Ansay  R. Hanset  Viviane Baldfwijns-Rouma & Jacqueline Roupain                                   Annales de génétique et de sélection animale                              volume 4  Article number: 505 (1972)             Cite this article                                                                                                      1337 Accesses                                                                                                     4 Citations                                                                                             Metrics details                                                                                                                                      Ansay  M.  Hanset  R.  Baldfwijns-Rouma  V.  Polymorphisme de l'adénosine déaminase (ada) dans l'espèce bovine.                      505 (1972). https://doi.org/10.1186/1297-9686-4-4-505  Published  Full Article"
