"Title"	"Authors"	"Author_Affiliation"	"Correspondence_Author"	"Publish_Date"	"Abstract"	"Keywords"	"Full_Paper"
"Indirect selection in poultry breeding with special reference to single genes"	"Authors: P. Mérat"	""	"No Co-Author"	"15 October 1975"	"(To access the full article  please see PDF)"	"Single Gene  Special Reference  Full Article  Indirect Selection  Poultry Breeding"	"                                                   Research                                            Open Access                                                              Published: 15 October 1975                         Indirect selection in poultry breeding with special reference to single genes                         P. Mérat                                   Annales de génétique et de sélection animale                              volume 7  Article number: 449 (1975)             Cite this article                                                                                                      1270 Accesses                                                                                                     2 Citations                                                                                             Metrics details                                                                                                                                      Mérat  P. Indirect selection in poultry breeding with special reference to single genes.                      449 (1975). https://doi.org/10.1186/1297-9686-7-4-449  Published  Single Gene  Special Reference  Full Article  Indirect Selection  Poultry Breeding"
"Depressed fertility in icelandic sheep caused by a single colour gene"	"Authors: S. Adalsteinsson"	""	"No Co-Author"	"15 October 1975"	"(To access the full article  please see PDF)"	"Colour Gene  Full Article  Single Colour  Icelandic Sheep"	"                                                   Research                                            Open Access                                                              Published: 15 October 1975                         Depressed fertility in icelandic sheep caused by a single colour gene                         S. Adalsteinsson                                   Annales de génétique et de sélection animale                              volume 7  Article number: 445 (1975)             Cite this article                                                                                                      1132 Accesses                                                                                                     5 Citations                                                                                             Metrics details                                                                                                                                      Adalsteinsson  S. Depressed fertility in  sheep caused by a single colour gene.                      445 (1975). https://doi.org/10.1186/1297-9686-7-4-445  Published  Colour Gene  Full Article  Single Colour  Icelandic Sheep"
"Essai de sélection sur la forme de la courbe de croissance chez le poulet. Dispositif expérimental et premiers résultats d'ensemble"	"Authors: F. H. Ricard  G. Marche  Renée Bourdiol and Huguette Poisson"	""	"No Co-Author"	"15 October 1975"	"(To access the full article  please see PDF)"	"Full Article"	"                                                   Research                                            Open Access                                                              Published: 15 October 1975                         Essai de sélection sur la forme de la courbe de croissance chez le poulet. Dispositif expérimental et premiers résultats d'ensemble                         F. H. Ricard  G. Marche  Renée Bourdiol & Huguette Poisson                                   Annales de génétique et de sélection animale                              volume 7  Article number: 427 (1975)             Cite this article                                                                                                      3054 Accesses                                                                                                     21 Citations                                                                                             Metrics details                                                                                                                                      Ricard  F.H.  Marche  G.  Bourdiol  R.  Essai de sélection sur la forme de la courbe de croissance chez le poulet. Dispositif expérimental et premiers résultats d'ensemble.                      427 (1975). https://doi.org/10.1186/1297-9686-7-4-427  Published  Full Article"
"Heritability estimates of hatching time in the fayoumi chickens"	"Authors: F. H. Abdou and H. Ayoub"	""	"No Co-Author"	"15 October 1975"	"(To access the full article  please see PDF)"	"Heritability Estimate  Full Article  Fayoumi Chicken"	"                                                   Research                                            Open Access                                                              Published: 15 October 1975                         Heritability estimates of hatching time in the fayoumi chickens                         F. H. Abdou & H. Ayoub                                   Annales de génétique et de sélection animale                              volume 7  Article number: 421 (1975)             Cite this article                                                                                                      945 Accesses                                                                                                              Metrics details                                                                                                                                      Abdou  F.H.  Ayoub  H. Heritability estimates of hatching time in the  chickens.                      421 (1975). https://doi.org/10.1186/1297-9686-7-4-421  Published  Heritability Estimate  Full Article  Fayoumi Chicken"
"Variations génétiques de la fertilité des brebis mérinos d'arles"	"Authors: J. Razungles  G. Ricordeau  L. Tchamitchian  M. Prud'hon and D. Lajous"	""	"No Co-Author"	"15 October 1975"	"(To access the full article  please see PDF)"	"Full Article"	"                                                   Research                                            Open Access                                                              Published: 15 October 1975                         Variations génétiques de la fertilité des brebis mérinos d'arles                         J. Razungles  G. Ricordeau  L. Tchamitchian  M. Prud'hon & D. Lajous                                   Annales de génétique et de sélection animale                              volume 7  Article number: 409 (1975)             Cite this article                                                                                                      1486 Accesses                                                                                                     4 Citations                                                                                             Metrics details                                                                                                                                      Razungles  J.  Ricordeau  G.  Tchamitchian  L.  Variations génétiques de la fertilité des brebis .                      409 (1975). https://doi.org/10.1186/1297-9686-7-4-409  Published  Full Article"
"Analyse statistique et génétique des gains des pur sang anglais de trois ans dans les courses plates françaises"	"Authors: B. Langlois  Dominique Poirel  D. Tastu and J. Rose"	""	"No Co-Author"	"15 October 1975"	"(To access the full article  please see PDF)"	"Full Article"	"                                                   Research                                            Open Access                                                              Published: 15 October 1975                         Analyse statistique et génétique des gains des pur sang anglais de trois ans dans les courses plates françaises                         B. Langlois  Dominique Poirel  D. Tastu & J. Rose                                   Annales de génétique et de sélection animale                              volume 7  Article number: 387 (1975)             Cite this article                                                                                                      3057 Accesses                                                                                                     10 Citations                                                                                             Metrics details                                                                                                                                      Langlois  B.  Poirel  D.  Tastu  D.  Analyse statistique et génétique des gains des  de trois ans dans les courses plates françaises.                      387 (1975). https://doi.org/10.1186/1297-9686-7-4-387  Published  Full Article"
"Coefficient de dépression et panmixie"	"Authors: Jacqueline Bouffette and A.-R. Bouffette"	""	"No Co-Author"	"15 October 1975"	"(To access the full article  please see PDF)"	"Full Article"	"                                                   Research                                            Open Access                                                              Published: 15 October 1975                         Coefficient de dépression et panmixie                         Jacqueline Bouffette & A.-R. Bouffette                                   Annales de génétique et de sélection animale                              volume 7  Article number: 379 (1975)             Cite this article                                                                                                      804 Accesses                                                                                                              Metrics details                                                                                                                                      Bouffette  J.  Bouffette  A. Coefficient de dépression et panmixie.                      379 (1975). https://doi.org/10.1186/1297-9686-7-4-379  Published  Full Article"
"Analyse du comportement et de la fréquence des génes a effets visibles dans des fratries de germains et de demi-germains"	"Authors: G. Lefort  L. Ollivier and P. Sellier"	""	"No Co-Author"	"15 October 1975"	"(To access the full article  please see PDF)"	"Full Article  Germains"	"                                                   Research                                            Open Access                                                              Published: 15 October 1975                         Analyse du comportement et de la fréquence des génes a effets visibles dans des fratries de germains et de demi-germains                         G. Lefort  L. Ollivier & P. Sellier                                   Annales de génétique et de sélection animale                              volume 7  Article number: 365 (1975)             Cite this article                                                                                                      974 Accesses                                                                                                     2 Citations                                                                                             Metrics details                                                                                                                                      Lefort  G.  Ollivier  L. & Sellier  P. Analyse du comportement et de la fréquence des génes a effets visibles dans des fratries de germains et de demi-germains.                      365 (1975). https://doi.org/10.1186/1297-9686-7-4-365  Published  Full Article  Germains"
"Effect of genes affecting tan colour on productivity in icelandic sheep"	"Authors: S. Adalsteinsson"	""	"No Co-Author"	"15 October 1975"	"(To access the full article  please see PDF)"	"Full Article  Icelandic Sheep"	"                                                   Research                                            Open Access                                                              Published: 15 October 1975                         Effect of genes affecting tan colour on productivity in icelandic sheep                         S. Adalsteinsson                                   Annales de génétique et de sélection animale                              volume 7  Article number: 357 (1975)             Cite this article                                                                                                      864 Accesses                                                                                                     1 Citations                                                                                             Metrics details                                                                                                                                      Adalsteinsson  S. Effect of genes affecting tan colour on productivity in  sheep.                      357 (1975). https://doi.org/10.1186/1297-9686-7-4-357  Published  Full Article  Icelandic Sheep"
"Marqueurs génétiques sanguins chez les chevaux de course"	"Authors: Luba Podliachouk  Marie Kaminski  A. Van de Weghe  Y. Bouquet  J. Zwolinski  S. Siudzinski  Roselyne Beaud  Françoise Pigache and Michèle Sykiotis"	""	"No Co-Author"	"15 October 1975"	"(To access the full article  please see PDF)"	"Full Article"	"                                                   Research                                            Open Access                                                              Published: 15 October 1975                         Marqueurs génétiques sanguins chez les chevaux de course                         Luba Podliachouk  Marie Kaminski  A. Van de Weghe  Y. Bouquet  J. Zwolinski  S. Siudzinski  Roselyne Beaud  Françoise Pigache & Michèle Sykiotis                                   Annales de génétique et de sélection animale                              volume 7  Article number: 339 (1975)             Cite this article                                                                                                      2984 Accesses                                                                                                     6 Citations                                                                                             Metrics details                                                                                                                                      Podliachouk  L.  Kaminski  M.  Van de Weghe  A.  Marqueurs génétiques sanguins chez les chevaux de course.                      339 (1975). https://doi.org/10.1186/1297-9686-7-4-339  Published  Full Article"
