"Title"	"Authors"	"Author_Affiliation"	"Correspondence_Author"	"Publish_Date"	"Abstract"	"Keywords"	"Full_Paper"
"Deux cas nouveaux de fusion centrique chez les bovins"	"Authors: C.-P. Popescu and Jeannine Boscher"	""	"No Co-Author"	"15 October 1971"	"(To access the full article  please see PDF)"	"Full Article"	"                                                   Research                                            Open Access                                                              Published: 15 October 1971                         Deux cas nouveaux de fusion centrique chez les bovins                         C.-P. Popescu & Jeannine Boscher                                   Annales de génétique et de sélection animale                              volume 3  Article number: 521 (1971)             Cite this article                                                                                                      924 Accesses                                                                                                     1 Citations                                                                                             Metrics details                                                                                                                                      Popescu  C.  Boscher  J. Deux cas nouveaux de fusion centrique chez les bovins.                      521 (1971). https://doi.org/10.1186/1297-9686-3-4-521  Published  Full Article"
"Optimisation du plan d'accouplement dans la sélection combinée"	"Authors: B. Poujardieu and R. Rouvier"	""	"No Co-Author"	"15 October 1971"	"(To access the full article  please see PDF)"	"Full Article"	"                                                   Research                                            Open Access                                                              Published: 15 October 1971                         Optimisation du plan d'accouplement dans la sélection combinée                         B. Poujardieu & R. Rouvier                                   Annales de génétique et de sélection animale                              volume 3  Article number: 509 (1971)             Cite this article                                                                                                      1163 Accesses                                                                                                     1 Citations                                                                                             Metrics details                                                                                                                                      Poujardieu  B.  Rouvier  R. Optimisation du plan d'accouplement dans la sélection combinée.                      509 (1971). https://doi.org/10.1186/1297-9686-3-4-509  Published  Full Article"
"Méthodes d'établissement des index de sélection des taureaux de races a viande sur la valeur économique de leurs descendants"	"Authors: J.-L. Foulley and R. Rouvier"	""	"No Co-Author"	"15 October 1971"	"(To access the full article  please see PDF)"	"Full Article"	"                                                   Research                                            Open Access                                                              Published: 15 October 1971                         Méthodes d'établissement des index de sélection des taureaux de races a viande sur la valeur économique de leurs descendants                         J.-L. Foulley & R. Rouvier                                   Annales de génétique et de sélection animale                              volume 3  Article number: 497 (1971)             Cite this article                                                                                                      1066 Accesses                                                                                                     1 Citations                                                                                             Metrics details                                                                                                                                      Foulley  J.  Rouvier  R. Méthodes d'établissement des index de sélection des taureaux de races a viande sur la valeur économique de leurs descendants.                      497 (1971). https://doi.org/10.1186/1297-9686-3-4-497  Published  Full Article"
"Effets de la consanguinité sur deux caractères quantitatifs chez le ver a soie"	"Authors: J.-M. Legay"	""	"No Co-Author"	"15 October 1971"	"(To access the full article  please see PDF)"	"Full Article"	"                                                   Research                                            Open Access                                                              Published: 15 October 1971                         Effets de la consanguinité sur deux caractères quantitatifs chez le ver a soie                         J.-M. Legay                                   Annales de génétique et de sélection animale                              volume 3  Article number: 487 (1971)             Cite this article                                                                                                      966 Accesses                                                                                                     2 Citations                                                                                             Metrics details                                                                                                                                      Legay  J. Effets de la consanguinité sur deux caractères quantitatifs chez le ver a soie.                      487 (1971). https://doi.org/10.1186/1297-9686-3-4-487  Published  Full Article"
"Effet d'une sélection avec troncature sur des gènes « importants » ou non: quelques illustrations numériques basées sur des relations approximatives dans la loi normale"	"Authors: P. Mérat"	""	"No Co-Author"	"15 October 1971"	"(To access the full article  please see PDF)"	"Full Article"	"                                                   Research                                            Open Access                                                              Published: 15 October 1971                         Effet d'une sélection avec troncature sur des gènes « importants » ou non: quelques illustrations numériques basées sur des relations approximatives dans la loi normale                         P. Mérat                                   Annales de génétique et de sélection animale                              volume 3  Article number: 479 (1971)             Cite this article                                                                                                      843 Accesses                                                                                                              Metrics details                                                                                                                                      Mérat  P. Effet d'une sélection avec troncature sur des gènes « importants » ou non: quelques illustrations numériques basées sur des relations approximatives dans la loi normale.                      479 (1971). https://doi.org/10.1186/1297-9686-3-4-479  Published  Full Article"
"Calcul a priori  intra- et inter-populations  des variances et covariances génotypiques entre apparentés quelconques"	"Authors: C. Chevalet"	""	"No Co-Author"	"15 October 1971"	"(To access the full article  please see PDF)"	"Full Article"	"                                                   Research                                            Open Access                                                              Published: 15 October 1971                         Calcul a priori  intra- et inter-populations  des variances et covariances génotypiques entre apparentés quelconques                         C. Chevalet                                   Annales de génétique et de sélection animale                              volume 3  Article number: 463 (1971)             Cite this article                                                                                                      1014 Accesses                                                                                                     1 Citations                                                                                             Metrics details                                                                                                                                      Chevalet  C. Calcul   intra- et inter-populations  des variances et covariances génotypiques entre apparentés quelconques.                      463 (1971). https://doi.org/10.1186/1297-9686-3-4-463  Published  Full Article"
"Calcul automatique des coefficients d'identité"	"Authors: C. Chevalet"	""	"No Co-Author"	"15 October 1971"	"(To access the full article  please see PDF)"	"Full Article"	"                                                   Research                                            Open Access                                                              Published: 15 October 1971                         Calcul automatique des coefficients d'identité                         C. Chevalet                                   Annales de génétique et de sélection animale                              volume 3  Article number: 449 (1971)             Cite this article                                                                                                      1320 Accesses                                                                                                     2 Citations                                                                                             Metrics details                                                                                                                                      Chevalet  C. Calcul automatique des coefficients d'identité.                      449 (1971). https://doi.org/10.1186/1297-9686-3-4-449  Published  Full Article"
"Étude du taux d'hydroxyproline d'un muscle et de ses relations avec certaines caractéristiques de composition corporelle dans les races large white et de piétrain"	"Authors: P. Sellier  R. Boccard  Nathalie Boutler  P. Dando and Georgette Nicolas"	""	"No Co-Author"	"15 October 1971"	"(To access the full article  please see PDF)"	"Full Article  Composition Corporelle"	"                                                   Research                                            Open Access                                                              Published: 15 October 1971                         Étude du taux d'hydroxyproline d'un muscle et de ses relations avec certaines caractéristiques de composition corporelle dans les races large white et de piétrain                         P. Sellier  R. Boccard  Nathalie Boutler  P. Dando & Georgette Nicolas                                   Annales de génétique et de sélection animale                              volume 3  Article number: 433 (1971)             Cite this article                                                                                                      971 Accesses                                                                                                     1 Citations                                                                                             Metrics details                                                                                                                                      Sellier  P.  Boccard  R.  Boutler  N.  Étude du taux d'hydroxyproline d'un muscle et de ses relations avec certaines caractéristiques de composition corporelle dans les races  et de .                      433 (1971). https://doi.org/10.1186/1297-9686-3-4-433  Published  Full Article  Composition Corporelle"
"Déterminisme héréditaire de la couleur balanche de la chevre saanen"	"Authors: G. Ricordeau  J.-J. Lauvergne and P. Guillimin"	""	"No Co-Author"	"15 October 1971"	"(To access the full article  please see PDF)"	"Full Article"	"                                                   Research                                            Open Access                                                              Published: 15 October 1971                         Déterminisme héréditaire de la couleur balanche de la chevre saanen                         G. Ricordeau  J.-J. Lauvergne & P. Guillimin                                   Annales de génétique et de sélection animale                              volume 3  Article number: 425 (1971)             Cite this article                                                                                                      1235 Accesses                                                                                                     2 Citations                                                                                             Metrics details                                                                                                                                      Ricordeau  G.  Lauvergne  J. & Guillimin  P. Déterminisme héréditaire de la couleur balanche de la chevre .                      425 (1971). https://doi.org/10.1186/1297-9686-3-4-425  Published  Full Article"
"Hereditary osteopetrosis in aberdeen-angus calves. II. — Genetical aspects"	"Authors: K. Huston and H.W. Leipold"	""	"No Co-Author"	"15 October 1971"	"(To access the full article  please see PDF)"	"Full Article  Osteopetrosis  Genetical Aspect"	"                                                   Research                                            Open Access                                                              Published: 15 October 1971                         Hereditary osteopetrosis in aberdeen-angus calves. II. — Genetical aspects                         K. Huston & H.W. Leipold                                   Annales de génétique et de sélection animale                              volume 3  Article number: 419 (1971)             Cite this article                                                                                                      1032 Accesses                                                                                                     4 Citations                                                                                             Metrics details                                                                                                                                      Huston  K.  Leipold  H. Hereditary osteopetrosis in  calves. II. — Genetical aspects.                      419 (1971). https://doi.org/10.1186/1297-9686-3-4-419  Published  Full Article  Osteopetrosis  Genetical Aspect"
"Polymorphisme de la phosphoglucomutase (PGM) dans l'espèce bovine"	"Authors: M. Ansay  R. Hanset and J. Esser-Coulon"	""	"No Co-Author"	"15 October 1971"	"(To access the full article  please see PDF)"	"Full Article  Phosphoglucomutase"	"                                                   Research                                            Open Access                                                              Published: 15 October 1971                         Polymorphisme de la phosphoglucomutase (PGM) dans l'espèce bovine                         M. Ansay  R. Hanset & J. Esser-Coulon                                   Annales de génétique et de sélection animale                              volume 3  Article number: 413 (1971)             Cite this article                                                                                                      1016 Accesses                                                                                                     7 Citations                                                                                             Metrics details                                                                                                                                      Ansay  M.  Hanset  R. & Esser-Coulon  J. Polymorphisme de la phosphoglucomutase (PGM) dans l'espèce bovine.                      413 (1971). https://doi.org/10.1186/1297-9686-3-4-413  Published  Full Article  Phosphoglucomutase"
"Action des gènes de nanisme (dw) et de cou nu (Na) sur la croissance du poussin et le métabolisme lipidique"	"Authors: S.P. Touchburn and J.-C. Blum"	""	"No Co-Author"	"15 July 1971"	"(To access the full article  please see PDF)"	"Full Article"	"                                                   Meeting report                                            Open Access                                                              Published: 15 July 1971                         Action des gènes de nanisme (dw) et de cou nu (Na) sur la croissance du poussin et le métabolisme lipidique                         S.P. Touchburn & J.-C. Blum                                   Annales de génétique et de sélection animale                              volume 3  Article number: 393 (1971)             Cite this article                                                                                                      584 Accesses                                                                                                     1 Citations                                                                                             Metrics details                                                                                                                                      Touchburn  S.  Blum  J. Action des gènes de nanisme () et de cou nu () sur la croissance du poussin et le métabolisme lipidique.                      393 (1971). https://doi.org/10.1186/1297-9686-3-3-393  Published  Full Article"
"Influence du gène de nanisme (dw) du gène cou nu (Na) et du rythme d'alimentation sur la croissance et le comportement alimentaire du poulet"	"Authors: J Simon and Philippe Doucet"	""	"No Co-Author"	"15 July 1971"	"(To access the full article  please see PDF)"	"Full Article  Comportement Alimentaire"	"                                                   Meeting report                                            Open Access                                                              Published: 15 July 1971                         Influence du gène de nanisme (dw) du gène cou nu (Na) et du rythme d'alimentation sur la croissance et le comportement alimentaire du poulet                         J Simon & Philippe Doucet                                   Annales de génétique et de sélection animale                              volume 3  Article number: 392 (1971)             Cite this article                                                                                                      854 Accesses                                                                                                              Metrics details                                                                                                                                      Simon  J.  Doucet  P. Influence du gène de nanisme () du gène cou nu () et du rythme d'alimentation sur la croissance et le comportement alimentaire du poulet.                      392 (1971). https://doi.org/10.1186/1297-9686-3-3-392  Published  Full Article  Comportement Alimentaire"
"Le gène de nanisme dw et les performances des poules dans une souche de type femelle-chair"	"Authors: F.H. Ricard and L.P. Cochez"	""	"No Co-Author"	"15 July 1971"	"(To access the full article  please see PDF)"	"Full Article"	"                                                   Meeting report                                            Open Access                                                              Published: 15 July 1971                         Le gène de nanisme dw et les performances des poules dans une souche de type femelle-chair                         F.H. Ricard & L.P. Cochez                                   Annales de génétique et de sélection animale                              volume 3  Article number: 391 (1971)             Cite this article                                                                                                      1033 Accesses                                                                                                              Metrics details                                                                                                                                      Ricard  F.  Cochez  L. Le gène de nanisme  et les performances des poules dans une souche de type femelle-chair.                      391 (1971). https://doi.org/10.1186/1297-9686-3-3-391  Published  Full Article"
"Données complémentaires sur les besoins nutritionnels de la reproductrice naine « Vedette I.N.R.A. JV 15 »"	"Authors: J. Guillaume"	""	"No Co-Author"	"15 July 1971"	"(To access the full article  please see PDF)"	"Full Article"	"                                                   Meeting report                                            Open Access                                                              Published: 15 July 1971                         Données complémentaires sur les besoins nutritionnels de la reproductrice naine « Vedette I.N.R.A. JV 15 »                         J. Guillaume                                   Annales de génétique et de sélection animale                              volume 3  Article number: 390 (1971)             Cite this article                                                                                                      1482 Accesses                                                                                                              Metrics details                                                                                                                                      Guillaume  J. Données complémentaires sur les besoins nutritionnels de la reproductrice naine «  ».                      390 (1971). https://doi.org/10.1186/1297-9686-3-3-390  Published  Full Article"
