"Title"	"Authors"	"Author_Affiliation"	"Correspondence_Author"	"Publish_Date"	"Abstract"	"Keywords"	"Full_Paper"
"Evolution of Frankia-Casuarinaceae interactions"	"Authors: Elisabeth Navarro  Carole Rouvier  Philippe Normand  Anne Marie Domenach  Pascal Simonet and Yves Prin"	""	"No Co-Author"	"15 December 1998"	"(To access the full article  please see PDF)"	"Full Article"	"                                                                          Volume 30 Supplement 1                                       Méthodologies de gestion et de conservation des ressources génétiques                                                           Research                                            Open Access                                                              Published: 15 December 1998                         Evolution of Frankia-Casuarinaceae interactions                         Elisabeth Navarro  Carole Rouvier  Philippe Normand  Anne Marie Domenach  Pascal Simonet & Yves Prin                                   Genetics Selection Evolution                              volume 30  Article number: S357 (1998)             Cite this article                                                                                                      1877 Accesses                                                                                                     4 Citations                                                                                             Metrics details                                                                                                                                      Navarro  E.  Rouvier  C.  Normand  P.  Evolution of -Casuarinaceae interactions.                      S357 (1998). https://doi.org/10.1186/1297-9686-30-S1-S357  Published  Full Article"
"Molecular markers in ecology of ectomycorrhizal fungi"	"Authors: Francis Martin  Marc-André Selosse  Céline Di Battista  Hassen Gherbi  Christine Delaruelle  Dominique Vairelles  Daniel Bouchard and François Le Tacon"	""	"No Co-Author"	"15 December 1998"	"(To access the full article  please see PDF)"	"Molecular Marker  Full Article  Ectomycorrhizal Fungus"	"                                                                          Volume 30 Supplement 1                                       Méthodologies de gestion et de conservation des ressources génétiques                                                           Research                                            Open Access                                                              Published: 15 December 1998                         Molecular markers in ecology of ectomycorrhizal fungi                         Francis Martin  Marc-André Selosse  Céline Di Battista  Hassen Gherbi  Christine Delaruelle  Dominique Vairelles  Daniel Bouchard & François Le Tacon                                   Genetics Selection Evolution                              volume 30  Article number: S333 (1998)             Cite this article                                                                                                      3425 Accesses                                                                                                     3 Citations                                                                                             Metrics details                                                                                                                                      Martin  F.  Selosse  M.  Di Battista  C.  Molecular markers in ecology of ectomycorrhizal fungi.                      S333 (1998). https://doi.org/10.1186/1297-9686-30-S1-S333  Published  Molecular Marker  Full Article  Ectomycorrhizal Fungus"
"Validity  sensitivity and resolution limit of the PCR-RFLP analysis of the rrs (16S rRNA gene) as a tool to identify soil-borne and plant-associated bacterial populations"	"Authors: Phil Oger  Yves Dessaux  Annick Petit  Louis Gardan  Charles Manceau  Cécil Chomel and Xavier Nesme"	""	"No Co-Author"	"15 December 1998"	"(To access the full article  please see PDF)"	"Bacterial Population  Resolution Limit  Full Article"	"                                                                          Volume 30 Supplement 1                                       Méthodologies de gestion et de conservation des ressources génétiques                                                           Research                                            Open Access                                                              Published: 15 December 1998                         Validity  sensitivity and resolution limit of the PCR-RFLP analysis of the rrs (16S rRNA gene) as a tool to identify soil-borne and plant-associated bacterial populations                         Phil Oger  Yves Dessaux  Annick Petit  Louis Gardan  Charles Manceau  Cécil Chomel & Xavier Nesme                                   Genetics Selection Evolution                              volume 30  Article number: S311 (1998)             Cite this article                                                                                                      3669 Accesses                                                                                                     8 Citations                                                                                             Metrics details                                                                                                                                      Oger  P.  Dessaux  Y.  Petit  A.  Validity  sensitivity and resolution limit of the PCR-RFLP analysis of the  (16S rRNA gene) as a tool to identify soil-borne and plant-associated bacterial populations.                      S311 (1998). https://doi.org/10.1186/1297-9686-30-S1-S311  Published  Bacterial Population  Resolution Limit  Full Article"
"Computer-assisted selection of restriction enzymes for rrs genes PCR-RFLP discrimination of rhizobial species"	"Authors: Marc Neyra  Bouchaib Khbaya  Philippe de Lajudie  Bernard Dreyfus and Philippe Normand"	""	"No Co-Author"	"15 December 1998"	"(To access the full article  please see PDF)"	"Restriction Enzyme  Full Article  Rhizobial Species"	"                                                                          Volume 30 Supplement 1                                       Méthodologies de gestion et de conservation des ressources génétiques                                                           Research                                            Open Access                                                              Published: 15 December 1998                         Computer-assisted selection of restriction enzymes for rrs genes PCR-RFLP discrimination of rhizobial species                         Marc Neyra  Bouchaib Khbaya  Philippe de Lajudie  Bernard Dreyfus & Philippe Normand                                   Genetics Selection Evolution                              volume 30  Article number: S297 (1998)             Cite this article                                                                                                      1559 Accesses                                                                                                     1 Citations                                                                                             Metrics details                                                                                                                                      Neyra  M.  Khbaya  B.  de Lajudie  P.  Computer-assisted selection of restriction enzymes for  genes PCR-RFLP discrimination of rhizobial species.                      S297 (1998). https://doi.org/10.1186/1297-9686-30-S1-S297  Published  Restriction Enzyme  Full Article  Rhizobial Species"
"Culture-independent characterisation of human faecal flora using rRNA-targeted hybridisation probes"	"Authors: Joël Doré  Geneviève Gramet  Isabelle Goderel and Philippe Pochart"	""	"No Co-Author"	"15 December 1998"	"(To access the full article  please see PDF)"	"Hybridisation Probe  Full Article  Faecal Flora  Human Faecal Flora"	"                                                                          Volume 30 Supplement 1                                       Méthodologies de gestion et de conservation des ressources génétiques                                                           Research                                            Open Access                                                              Published: 15 December 1998                         Culture-independent characterisation of human faecal flora using rRNA-targeted hybridisation probes                         Joël Doré  Geneviève Gramet  Isabelle Goderel & Philippe Pochart                                   Genetics Selection Evolution                              volume 30  Article number: S287 (1998)             Cite this article                                                                                                      2260 Accesses                                                                                                     7 Citations                                                                                                                                  0 Altmetric                                                                                                     Metrics details                                                                                                                                      Doré  J.  Gramet  G.  Goderel  I.  Culture-independent characterisation of human faecal flora using rRNA-targeted hybridisation probes.                      S287 (1998). https://doi.org/10.1186/1297-9686-30-S1-S287  Published  Hybridisation Probe  Full Article  Faecal Flora  Human Faecal Flora"
"Inventaire moléculaire d'un écosystème microbien de digestion anaérobie"	"Authors: Jean-Jacques Godon  Emmanuelle Zumstein  Patrick Dabert  Frédéric Habouzit and René Moletta"	""	"No Co-Author"	"15 December 1998"	"(To access the full article  please see PDF)"	"Full Article"	"                                                                          Volume 30 Supplement 1                                       Méthodologies de gestion et de conservation des ressources génétiques                                                           Research                                            Open Access                                                              Published: 15 December 1998                         Inventaire moléculaire d'un écosystème microbien de digestion anaérobie                         Jean-Jacques Godon  Emmanuelle Zumstein  Patrick Dabert  Frédéric Habouzit & René Moletta                                   Genetics Selection Evolution                              volume 30  Article number: S273 (1998)             Cite this article                                                                                                      2930 Accesses                                                                                                              Metrics details                                                                                                                                      Godon  J.  Zumstein  E.  Dabert  P.  Inventaire moléculaire d'un écosystème microbien de digestion anaérobie.                      S273 (1998). https://doi.org/10.1186/1297-9686-30-S1-S273  Published  Full Article"
"Établissement d'une cryobanque d'embryons pour la conservation ex situ de la diversité génétique chez le lapin: aspects pratiques"	"Authors: Thierry Joly  Hubert de Rochambeau and Jean-Paul Renard"	""	"No Co-Author"	"15 December 1998"	"(To access the full article  please see PDF)"	"Full Article"	"                                                                          Volume 30 Supplement 1                                       Méthodologies de gestion et de conservation des ressources génétiques                                                           Research                                            Open Access                                                              Published: 15 December 1998                         Établissement d'une cryobanque d'embryons pour la conservation ex situ de la diversité génétique chez le lapin: aspects pratiques                         Thierry Joly  Hubert de Rochambeau & Jean-Paul Renard                                   Genetics Selection Evolution                              volume 30  Article number: S259 (1998)             Cite this article                                                                                                      3547 Accesses                                                                                                     4 Citations                                                                                             Metrics details                                                                                                                                      Joly  T.  de Rochambeau  H. & Renard  J. Établissement d'une cryobanque d'embryons pour la conservation ex situ de la diversité génétique chez le lapin: aspects pratiques.                      S259 (1998). https://doi.org/10.1186/1297-9686-30-S1-S259  Published  Full Article"
"Effects of quantitative and qualitative principal component score strategies on the structure of coffee  rubber tree  rice and sorghum core collections"	"Authors: Serge Hamon  Stéphane Dussert  Monique Deu  Perla Hamon  Marc Seguin  Jean-Chistophe Glaszmann  Laurent Grivet  Jacques Chantereau  Marie-Hélène Chevallier  Albert Flori  Philippe Lashermes  Hyacinthe Legnate and Michel Noirot"	""	"No Co-Author"	"15 December 1998"	"(To access the full article  please see PDF)"	"Component Score  Core Collection  Full Article  Rubber Tree  Principal Component Score"	"                                                                          Volume 30 Supplement 1                                       Méthodologies de gestion et de conservation des ressources génétiques                                                           Research                                            Open Access                                                              Published: 15 December 1998                         Effects of quantitative and qualitative principal component score strategies on the structure of coffee  rubber tree  rice and sorghum core collections                         Serge Hamon  Stéphane Dussert  Monique Deu  Perla Hamon  Marc Seguin  Jean-Chistophe Glaszmann  Laurent Grivet  Jacques Chantereau  Marie-Hélène Chevallier  Albert Flori  Philippe Lashermes  Hyacinthe Legnate & Michel Noirot                                   Genetics Selection Evolution                              volume 30  Article number: S237 (1998)             Cite this article                                                                                                      2636 Accesses                                                                                                     8 Citations                                                                                             Metrics details                                                                                                                                      Hamon  S.  Dussert  S.  Deu  M.  Effects of quantitative and qualitative principal component score strategies on the structure of coffee  rubber tree  rice and sorghum core collections.                      S237 (1998). https://doi.org/10.1186/1297-9686-30-S1-S237  Published  Component Score  Core Collection  Full Article  Rubber Tree  Principal Component Score"
"Comparison of different spatial strategies for sampling a core collection of natural populations of fodder crops"	"Authors: François Balfourier  Gilles Charmet  Jean-Marie Prosperi  Michel Goulard and Pascal Monestiez"	""	"No Co-Author"	"15 December 1998"	"(To access the full article  please see PDF)"	"Natural Population  Core Collection  Full Article  Spatial Strategy  Fodder Crop"	"                                                                          Volume 30 Supplement 1                                       Méthodologies de gestion et de conservation des ressources génétiques                                                           Research                                            Open Access                                                              Published: 15 December 1998                         Comparison of different spatial strategies for sampling a core collection of natural populations of fodder crops                         François Balfourier  Gilles Charmet  Jean-Marie Prosperi  Michel Goulard & Pascal Monestiez                                   Genetics Selection Evolution                              volume 30  Article number: S215 (1998)             Cite this article                                                                                                      2382 Accesses                                                                                                     10 Citations                                                                                             Metrics details                                                                                                                                      Balfourier  F.  Charmet  G.  Prosperi  J.  Comparison of different spatial strategies for sampling a core collection of natural populations of fodder crops.                      S215 (1998). https://doi.org/10.1186/1297-9686-30-S1-S215  Published  Natural Population  Core Collection  Full Article  Spatial Strategy  Fodder Crop"
"The relevance of outcrossing for the dynamic management of genetic resources in predominantly selfing Triticum aestivum L. (bread wheat)"	"Authors: Jérome Enjalbert  Isabelle Goldringer  Jacques David and Philippe Brabant"	""	"No Co-Author"	"15 December 1998"	"(To access the full article  please see PDF)"	"Genetic Resource  Bread Wheat  Full Article  Dynamic Management"	"                                                                          Volume 30 Supplement 1                                       Méthodologies de gestion et de conservation des ressources génétiques                                                           Research                                            Open Access                                                              Published: 15 December 1998                         The relevance of outcrossing for the dynamic management of genetic resources in predominantly selfing Triticum aestivum L. (bread wheat)                         Jérome Enjalbert  Isabelle Goldringer  Jacques David & Philippe Brabant                                   Genetics Selection Evolution                              volume 30  Article number: S197 (1998)             Cite this article                                                                                                      2043 Accesses                                                                                                     17 Citations                                                                                             Metrics details                                                                                                                                      Enjalbert  J.  Goldringer  I.  David  J.  The relevance of outcrossing for the dynamic management of genetic resources in predominantly selfing  L. (bread wheat).                      S197 (1998). https://doi.org/10.1186/1297-9686-30-S1-S197  Published  Genetic Resource  Bread Wheat  Full Article  Dynamic Management"
