"Title"	"Authors"	"Author_Affiliation"	"Correspondence_Author"	"Publish_Date"	"Abstract"	"Keywords"	"Full_Paper"
"Identification of chromosomes involved in a Robertsonian translocation in cattle"	"Authors: E.P. Cribiu  M. Matejka  R. Darre  V. Durand  H.M. Berland and A. Bouvet"	""	"No Co-Author"	"15 December 1989"	"(To access the full article  please see PDF)"	"Full Article  Robertsonian Translocation"	"                                                   Research                                            Open Access                                                              Published: 15 December 1989                         Identification of chromosomes involved in a Robertsonian translocation in cattle                         E.P. Cribiu  M. Matejka  R. Darre  V. Durand  H.M. Berland & A. Bouvet                                   Genetics Selection Evolution                              volume 21  Article number: 555 (1989)             Cite this article                                                                                                      1474 Accesses                                                                                                     6 Citations                                                                                             Metrics details                                                                                                                                      Cribiu  E.  Matejka  M.  Darre  R.  Identification of chromosomes involved in a Robertsonian translocation in cattle.                      555 (1989). https://doi.org/10.1186/1297-9686-21-4-555  Received Accepted Published  Full Article  Robertsonian Translocation"
"Different rates of synthesis of whey protein and casein by alleles of the ß-lactoglobulin and as1-casein locus in cattle"	"Authors: R. Graml  G. Weiss  J. Buchberger and F. Pirchner"	""	"No Co-Author"	"15 December 1989"	"(To access the full article  please see PDF)"	"Whey Protein  Full Article"	"                                                   Research                                            Open Access                                                              Published: 15 December 1989                         Different rates of synthesis of whey protein and casein by alleles of the ß-lactoglobulin and as1-casein locus in cattle                         R. Graml  G. Weiss  J. Buchberger & F. Pirchner                                   Genetics Selection Evolution                              volume 21  Article number: 547 (1989)             Cite this article                                                                                                      1508 Accesses                                                                                                     20 Citations                                                                                             Metrics details                                                                                                                                      Graml  R.  Weiss  G.  Buchberger  J.  Different rates of synthesis of whey protein and casein by alleles of the ß-lactoglobulin and a-casein locus in cattle.                      547 (1989). https://doi.org/10.1186/1297-9686-21-4-547  Received Accepted Published  Whey Protein  Full Article"
"Estimation of crossbreeding parameters between Large White and Meishan porcine breeds"	"Authors: J.P. Bidanel  J.C. Caritez and C. Legault"	""	"No Co-Author"	"15 December 1989"	"(To access the full article  please see PDF)"	"Full Article  Porcine Breed"	"                                                   Research                                            Open Access                                                              Published: 15 December 1989                         Estimation of crossbreeding parameters between Large White and Meishan porcine breeds                         J.P. Bidanel  J.C. Caritez & C. Legault                                   Genetics Selection Evolution                              volume 21  Article number: 507 (1989)             Cite this article                                                                                                      1457 Accesses                                                                                                     28 Citations                                                                                             Metrics details                                                                                                                                      Bidanel  J.  Caritez  J. & Legault  C. Estimation of crossbreeding parameters between Large  and  porcine breeds.                      507 (1989). https://doi.org/10.1186/1297-9686-21-4-507  Received Accepted Published  Full Article  Porcine Breed"
"Restricted maximum likelihood estimation of genetic parameters for the first three lactations in the Montbéliarde dairy cattle breed"	"Authors: C. Beaumont"	""	"No Co-Author"	"15 December 1989"	"(To access the full article  please see PDF)"	"Maximum Likelihood Estimation  Likelihood Estimation  Dairy Cattle  Genetic Parameter  Full Article"	"                                                   Research                                            Open Access                                                              Published: 15 December 1989                         Restricted maximum likelihood estimation of genetic parameters for the first three lactations in the Montbéliarde dairy cattle breed                         C. Beaumont                                   Genetics Selection Evolution                              volume 21  Article number: 493 (1989)             Cite this article                                                                                                      1258 Accesses                                                                                                     3 Citations                                                                                             Metrics details                                                                                                                                      Beaumont  C. Restricted maximum likelihood estimation of genetic parameters for the first three lactations in the  dairy cattle breed.                      493 (1989). https://doi.org/10.1186/1297-9686-21-4-493  Received Accepted Published  Maximum Likelihood Estimation  Likelihood Estimation  Dairy Cattle  Genetic Parameter  Full Article"
"Impact of the use of bovine somatotropin (BST) on dairy cattle selection"	"Authors: J.J. Colleau"	""	"No Co-Author"	"15 December 1989"	"(To access the full article  please see PDF)"	"Dairy Cattle  Full Article  Somatotropin  Bovine Somatotropin  Cattle Selection"	"                                                   Research                                            Open Access                                                              Published: 15 December 1989                         Impact of the use of bovine somatotropin (BST) on dairy cattle selection                         J.J. Colleau                                   Genetics Selection Evolution                              volume 21  Article number: 479 (1989)             Cite this article                                                                                                      1337 Accesses                                                                                                     8 Citations                                                                                             Metrics details                                                                                                                                      Colleau  J. Impact of the use of bovine somatotropin (BST) on dairy cattle selection.                      479 (1989). https://doi.org/10.1186/1297-9686-21-4-479  Received Accepted Published  Dairy Cattle  Full Article  Somatotropin  Bovine Somatotropin  Cattle Selection"
"Marker assisted selection using best linear unbiased prediction"	"Authors: R.L. Fernando and M. Grossman"	""	"No Co-Author"	"15 December 1989"	"(To access the full article  please see PDF)"	"Full Article  Linear Unbiased Prediction"	"                                                   Methodology                                            Open Access                                                              Published: 15 December 1989                         Marker assisted selection using best linear unbiased prediction                         R.L. Fernando & M. Grossman                                   Genetics Selection Evolution                              volume 21  Article number: 467 (1989)             Cite this article                                                                                                      7593 Accesses                                                                                                     244 Citations                                                                                                                                  6 Altmetric                                                                                                     Metrics details                                                                                                                                      Fernando  R.  Grossman  M. Marker assisted selection using best linear unbiased prediction.                      467 (1989). https://doi.org/10.1186/1297-9686-21-4-467  Received Accepted Published  Full Article  Linear Unbiased Prediction"
"Use of sparse matrix absorption in animal breeding"	"Authors: B. Tier and S.P. Smith"	""	"No Co-Author"	"15 December 1989"	"(To access the full article  please see PDF)"	"Full Article  Sparse Matrix  Animal Breeding  Matrix Absorption"	"                                                   Research                                            Open Access                                                              Published: 15 December 1989                         Use of sparse matrix absorption in animal breeding                         B. Tier & S.P. Smith                                   Genetics Selection Evolution                              volume 21  Article number: 457 (1989)             Cite this article                                                                                                      2800 Accesses                                                                                                     9 Citations                                                                                             Metrics details                                                                                                                                      Tier  B.  Smith  S. Use of sparse matrix absorption in animal breeding.                      457 (1989). https://doi.org/10.1186/1297-9686-21-4-457  Received Accepted Published  Full Article  Sparse Matrix  Animal Breeding  Matrix Absorption"
"Rare-male mating advantage in Drosophila ananassae"	"Authors: B.N. Singh and S. Chatterjee"	""	"No Co-Author"	"15 December 1989"	"(To access the full article  please see PDF)"	"Full Article  Mating Advantage"	"                                                   Research                                            Open Access                                                              Published: 15 December 1989                         Rare-male mating advantage in Drosophila ananassae                         B.N. Singh & S. Chatterjee                                   Genetics Selection Evolution                              volume 21  Article number: 447 (1989)             Cite this article                                                                                                      1366 Accesses                                                                                                     14 Citations                                                                                             Metrics details                                                                                                                                      Singh  B.  Chatterjee  S. Rare-male mating advantage in .                      447 (1989). https://doi.org/10.1186/1297-9686-21-4-447  Received Accepted Published  Full Article  Mating Advantage"
"Genetic variability of host-parasite relationship traits: utilization of isofemale lines in a Drosophila simulans parasitic wasp"	"Authors: Y. Carton  P. Capy and A.J. Nappi"	""	"No Co-Author"	"15 December 1989"	"(To access the full article  please see PDF)"	"Genetic Variability  Full Article  Parasitic Wasp  Isofemale Line  Relationship Trait"	"                                                   Research                                            Open Access                                                              Published: 15 December 1989                         Genetic variability of host-parasite relationship traits: utilization of isofemale lines in a Drosophila simulans parasitic wasp                         Y. Carton  P. Capy & A.J. Nappi                                   Genetics Selection Evolution                              volume 21  Article number: 437 (1989)             Cite this article                                                                                                      1663 Accesses                                                                                                     19 Citations                                                                                             Metrics details                                                                                                                                      Carton  Y.  Capy  P. & Nappi  A. Genetic variability of host-parasite relationship traits: utilization of isofemale lines in a  parasitic wasp.                      437 (1989). https://doi.org/10.1186/1297-9686-21-4-437  Received Accepted Published  Genetic Variability  Full Article  Parasitic Wasp  Isofemale Line  Relationship Trait"
"Mechanisms of resistance to acrolein in Drosophila melanogaster"	"Authors: L.M. Sierra  M.A. Comendador and I. Aguirrezabalaga"	""	"No Co-Author"	"15 December 1989"	"(To access the full article  please see PDF)"	"Acrolein  Full Article"	"                                                   Research                                            Open Access                                                              Published: 15 December 1989                         Mechanisms of resistance to acrolein in Drosophila melanogaster                         L.M. Sierra  M.A. Comendador & I. Aguirrezabalaga                                   Genetics Selection Evolution                              volume 21  Article number: 427 (1989)             Cite this article                                                                                                      919 Accesses                                                                                                     4 Citations                                                                                             Metrics details                                                                                                                                      Sierra  L.  Comendador  M. & Aguirrezabalaga  I. Mechanisms of resistance to acrolein in .                      427 (1989). https://doi.org/10.1186/1297-9686-21-4-427  Received Accepted Published  Acrolein  Full Article"
