"Title"	"Authors"	"Author_Affiliation"	"Correspondence_Author"	"Publish_Date"	"Abstract"	"Keywords"	"Full_Paper"
"Utilisation de la numérotation binaire pour le calcul de la consanguinité"	"Authors: J. Lefebvre"	""	"No Co-Author"	"15 October 1981"	"(To access the full article  please see PDF)"	"Full Article"	"                                                   Research                                            Open Access                                                              Published: 15 October 1981                         Utilisation de la numérotation binaire pour le calcul de la consanguinité                         J. Lefebvre                                   Annales de génétique et de sélection animale                              volume 13  Article number: 447 (1981)             Cite this article                                                                                                      786 Accesses                                                                                                              Metrics details                                                                                                                                      Lefebvre  J. Utilisation de la numérotation binaire pour le calcul de la consanguinité.                      447 (1981). https://doi.org/10.1186/1297-9686-13-4-447  Published  Full Article"
"Etude préliminaire des relations entre le complexe majeur d'histocompatibilité (SLA) et des caractères de production chez le porc"	"Authors: P. Capy  Christine Renard  P. Sellier  M. Vaiman  A. Derrien and J. Lecointre"	""	"No Co-Author"	"15 October 1981"	"(To access the full article  please see PDF)"	"Full Article"	"                                                   Research                                            Open Access                                                              Published: 15 October 1981                         Etude préliminaire des relations entre le complexe majeur d'histocompatibilité (SLA) et des caractères de production chez le porc                         P. Capy  Christine Renard  P. Sellier  M. Vaiman  A. Derrien & J. Lecointre                                   Annales de génétique et de sélection animale                              volume 13  Article number: 441 (1981)             Cite this article                                                                                                      1124 Accesses                                                                                                     4 Citations                                                                                             Metrics details                                                                                                                                      Capy  P.  Renard  C.  Sellier  P.  Etude préliminaire des relations entre le complexe majeur d'histocompatibilité (SLA) et des caractères de production chez le porc.                      441 (1981). https://doi.org/10.1186/1297-9686-13-4-441  Published  Full Article"
"Carcass measurements of naked neck and normal chicks"	"Authors: A. Zein-el-dein  M. Zeiny and H. Ayoub"	""	"No Co-Author"	"15 October 1981"	"(To access the full article  please see PDF)"	"Full Article  Naked Neck  Normal Chick  Carcass Measurement"	"                                                   Research                                            Open Access                                                              Published: 15 October 1981                         Carcass measurements of naked neck and normal chicks                         A. Zein-el-dein  M. Zeiny & H. Ayoub                                   Annales de génétique et de sélection animale                              volume 13  Article number: 435 (1981)             Cite this article                                                                                                      1945 Accesses                                                                                                     3 Citations                                                                                             Metrics details                                                                                                                                      Zein-el-dein  A.  Zeiny  M. & Ayoub  H. Carcass measurements of  and normal chicks.                      435 (1981). https://doi.org/10.1186/1297-9686-13-4-435  Published  Full Article  Naked Neck  Normal Chick  Carcass Measurement"
"Robertsonian translocation in a Chianine cow and in its offspring"	"Authors: M. Silvestrelli  D. Casciotti  F. Valfré and U. Chicchini"	""	"No Co-Author"	"15 October 1981"	"(To access the full article  please see PDF)"	"Full Article  Robertsonian Translocation"	"                                                   Research                                            Open Access                                                              Published: 15 October 1981                         Robertsonian translocation in a Chianine cow and in its offspring                         M. Silvestrelli  D. Casciotti  F. Valfré & U. Chicchini                                   Annales de génétique et de sélection animale                              volume 13  Article number: 429 (1981)             Cite this article                                                                                                      969 Accesses                                                                                                              Metrics details                                                                                                                                      Silvestrelli  M.  Casciotti  D.  Valfré  F.  Robertsonian translocation in a  cow and in its offspring.                      429 (1981). https://doi.org/10.1186/1297-9686-13-4-429  Published  Full Article  Robertsonian Translocation"
"Commentaires sur une proposition d'extension du modèle génétique additif classique à des situations non-panmictiques"	"Authors: C. Chevalet"	""	"No Co-Author"	"15 October 1981"	"(To access the full article  please see PDF)"	"Full Article"	"                                                   Research                                            Open Access                                                              Published: 15 October 1981                         Commentaires sur une proposition d'extension du modèle génétique additif classique à des situations non-panmictiques                         C. Chevalet                                   Annales de génétique et de sélection animale                              volume 13  Article number: 419 (1981)             Cite this article                                                                                                      947 Accesses                                                                                                              Metrics details                                                                                                                                      Chevalet  C. Commentaires sur une proposition d'extension du modèle génétique additif classique à des situations non-panmictiques.                      419 (1981). https://doi.org/10.1186/1297-9686-13-4-419  Published  Full Article"
"A survey of European primitive breeds of sheep"	"Authors: M. L. Ryder"	""	"No Co-Author"	"15 October 1981"	"(To access the full article  please see PDF)"	"Full Article  Primitive Breed"	"                                                   Research                                            Open Access                                                              Published: 15 October 1981                         A survey of European primitive breeds of sheep                         M. L. Ryder                                   Annales de génétique et de sélection animale                              volume 13  Article number: 381 (1981)             Cite this article                                                                                                      10k Accesses                                                                                                     10 Citations                                                                                                                                  4 Altmetric                                                                                                     Metrics details                                                                                                                                      Ryder  M.L. A survey of European primitive breeds of sheep.                      381 (1981). https://doi.org/10.1186/1297-9686-13-4-381  Published  Full Article  Primitive Breed"
"Maintien d'un gène létal dans une population: le cas des chats sans queue de l'Ile de Man"	"Authors: Jean Génermont"	""	"No Co-Author"	"15 October 1981"	"(To access the full article  please see PDF)"	"Full Article"	"                                                   Research                                            Open Access                                                              Published: 15 October 1981                         Maintien d'un gène létal dans une population: le cas des chats sans queue de l'Ile de Man                         Jean Génermont                                   Annales de génétique et de sélection animale                              volume 13  Article number: 371 (1981)             Cite this article                                                                                                      2630 Accesses                                                                                                              Metrics details                                                                                                                                      Génermont  J. Maintien d'un gène létal dans une population: le cas des chats sans queue de l'.                      371 (1981). https://doi.org/10.1186/1297-9686-13-4-371  Published  Full Article"
"Génétique des populations de chats domestiques dans un district rural du Cher (France)"	"Authors: Ph. Dreux"	""	"No Co-Author"	"15 October 1981"	"(To access the full article  please see PDF)"	"Full Article"	"                                                   Research                                            Open Access                                                              Published: 15 October 1981                         Génétique des populations de chats domestiques dans un district rural du Cher (France)                         Ph. Dreux                                   Annales de génétique et de sélection animale                              volume 13  Article number: 363 (1981)             Cite this article                                                                                                      1230 Accesses                                                                                                     1 Citations                                                                                             Metrics details                                                                                                                                      Ph. Dreux Génétique des populations de chats domestiques dans un district rural du Cher (France).                      363 (1981). https://doi.org/10.1186/1297-9686-13-4-363  Published  Full Article"
"Evolution de la fréquence du cornage dans quatre races caprines françaises"	"Authors: G. Ricordeau  F. Sanchez YGF and A. Gaillard"	""	"No Co-Author"	"15 October 1981"	"(To access the full article  please see PDF)"	"Full Article"	"                                                   Research                                            Open Access                                                              Published: 15 October 1981                         Evolution de la fréquence du cornage dans quatre races caprines françaises                         G. Ricordeau  F. Sanchez YGF & A. Gaillard                                   Annales de génétique et de sélection animale                              volume 13  Article number: 353 (1981)             Cite this article                                                                                                      1317 Accesses                                                                                                     1 Citations                                                                                             Metrics details                                                                                                                                      Ricordeau  G.  YGF  F.S. & Gaillard  A. Evolution de la fréquence du cornage dans quatre races caprines françaises.                      353 (1981). https://doi.org/10.1186/1297-9686-13-4-353  Published  Full Article"
"Possible formule génétique pour la couleur du pelage de la race bovine Brune des Alpes"	"Authors: J. J. Lauvergne"	""	"No Co-Author"	"15 October 1981"	"(To access the full article  please see PDF)"	"Full Article"	"                                                   Research                                            Open Access                                                              Published: 15 October 1981                         Possible formule génétique pour la couleur du pelage de la race bovine Brune des Alpes                         J. J. Lauvergne                                   Annales de génétique et de sélection animale                              volume 13  Article number: 339 (1981)             Cite this article                                                                                                      1676 Accesses                                                                                                     1 Citations                                                                                             Metrics details                                                                                                                                      Lauvergne  J.J. Possible formule génétique pour la couleur du pelage de la race bovine .                      339 (1981). https://doi.org/10.1186/1297-9686-13-4-339  Published  Full Article"
