"Title"	"Authors"	"Author_Affiliation"	"Correspondence_Author"	"Publish_Date"	"Abstract"	"Keywords"	"Full_Paper"
"Population genetics and the Cretaceous extinction"	"Authors: SC Tsakas and JR David"	""	"No Co-Author"	"15 December 1987"	"(To access the full article  please see PDF)"	"Population Genetic  Full Article  Cretaceous Extinction"	"                                                   Research                                            Open Access                                                              Published: 15 December 1987                         Population genetics and the Cretaceous extinction                         SC Tsakas & JR David                                   Génétique  sélection  évolution                              volume 19  Article number: 487 (1987)             Cite this article                                                                                                      2303 Accesses                                                                                                              Metrics details                                                                                                                                      Tsakas  S.  David  J. Population genetics and the Cretaceous extinction.                      487 (1987). https://doi.org/10.1186/1297-9686-19-4-487  Published  Population Genetic  Full Article  Cretaceous Extinction"
"Conversion des valeurs génétiques des taureaux laitiers nord-américains en index français"	"Authors: B Bonaïti and P Boulanger"	""	"No Co-Author"	"15 December 1987"	"(To access the full article  please see PDF)"	"Full Article"	"                                                   Research                                            Open Access                                                              Published: 15 December 1987                         Conversion des valeurs génétiques des taureaux laitiers nord-américains en index français                         B Bonaïti & P Boulanger                                   Génétique  sélection  évolution                              volume 19  Article number: 475 (1987)             Cite this article                                                                                                      1199 Accesses                                                                                                              Metrics details                                                                                                                                      Bonaïti  B.  Boulanger  P. Conversion des valeurs génétiques des taureaux laitiers nord-américains en index français.                      475 (1987). https://doi.org/10.1186/1297-9686-19-4-475  Published  Full Article"
"Studies on dairy production of milking ewes. I. – Estimates of genetic parameters for total milk composition and yield"	"Authors: F. Barillet and D. Boichard"	""	"No Co-Author"	"15 December 1987"	"(To access the full article  please see PDF)"	"Dairy Production  Genetic Parameter  Full Article  Milk Composition  Total Milk"	"                                                   Research                                            Open Access                                                              Published: 15 December 1987                         Studies on dairy production of milking ewes. I. – Estimates of genetic parameters for total milk composition and yield                         F. Barillet & D. Boichard                                   Génétique  sélection  évolution                              volume 19  Article number: 459 (1987)             Cite this article                                                                                                      2937 Accesses                                                                                                     27 Citations                                                                                             Metrics details                                                                                                                                      Barillet  F.  Boichard  D. Studies on dairy production of milking ewes. I. – Estimates of genetic parameters for total milk composition and yield.                      459 (1987). https://doi.org/10.1186/1297-9686-19-4-459  Received Accepted Published  Dairy Production  Genetic Parameter  Full Article  Milk Composition  Total Milk"
"Direct and correlated responses to selection for large and small 6-week body weight in mice"	"Authors: Yolanda Bayon  L.F. Fuente and F. San Primitivo"	""	"No Co-Author"	"15 December 1987"	"(To access the full article  please see PDF)"	"Body Weight  Full Article  Correlate Response"	"                                                   Research                                            Open Access                                                              Published: 15 December 1987                         Direct and correlated responses to selection for large and small 6-week body weight in mice                         Yolanda Bayon  L.F. Fuente & F. San Primitivo                                   Génétique  sélection  évolution                              volume 19  Article number: 445 (1987)             Cite this article                                                                                                      1111 Accesses                                                                                                     4 Citations                                                                                             Metrics details                                                                                                                                      Bayon  Y.  Fuente  L. & Primitivo  F.S. Direct and correlated responses to selection for large and small 6-week body weight in mice.                      445 (1987). https://doi.org/10.1186/1297-9686-19-4-445  Received Accepted Published  Body Weight  Full Article  Correlate Response"
"Intra- and intergenotypic larval competition in Drosophila melanogaster : effect of larval density and biotic residues"	"Authors: J.A. Castro  Luisa M. Botella and J.L. Mensua"	""	"No Co-Author"	"15 December 1987"	"(To access the full article  please see PDF)"	"Full Article  Larval Density  Larval Competition  Biotic Residue"	"                                                   Research                                            Open Access                                                              Published: 15 December 1987                         Intra- and intergenotypic larval competition in Drosophila melanogaster : effect of larval density and biotic residues                         J.A. Castro  Luisa M. Botella & J.L. Mensua                                   Génétique  sélection  évolution                              volume 19  Article number: 427 (1987)             Cite this article                                                                                                      1226 Accesses                                                                                                     1 Citations                                                                                             Metrics details                                                                                                                                      Castro  J.  Botella  L.M. & Mensua  J. Intra- and intergenotypic larval competition in  : effect of larval density and biotic residues.                      427 (1987). https://doi.org/10.1186/1297-9686-19-4-427  Received Accepted Published  Full Article  Larval Density  Larval Competition  Biotic Residue"
"Effet de l'éthanol sur le développement pré-imaginal de Drosophila melanogaster : relation avec les locus de l'Adh et de l'a-Gpdh"	"Authors: H. Merçot and Liliane Charles-Palabost"	""	"No Co-Author"	"15 December 1987"	"(To access the full article  please see PDF)"	"Full Article"	"                                                   Research                                            Open Access                                                              Published: 15 December 1987                         Effet de l'éthanol sur le développement pré-imaginal de Drosophila melanogaster : relation avec les locus de l'Adh et de l'a-Gpdh                         H. Merçot & Liliane Charles-Palabost                                   Génétique  sélection  évolution                              volume 19  Article number: 413 (1987)             Cite this article                                                                                                      1168 Accesses                                                                                                     1 Citations                                                                                             Metrics details                                                                                                                                      Merçot  H.  Charles-Palabost  L. Effet de l'éthanol sur le développement pré-imaginal de  : relation avec les locus de l' et de l'a-.                      413 (1987). https://doi.org/10.1186/1297-9686-19-4-413  Received Accepted Published  Full Article"
"A Mendelian polymorphism underlying quantitative variations of goat as1-casein"	"Authors: F. Grosclaude  Marie-Françoise Mahé  Ghislaine Brignon  Liliana Di Stasio and R. Jeunet"	""	"No Co-Author"	"15 December 1987"	"(To access the full article  please see PDF)"	"Quantitative Variation  Full Article"	"                                                   Research                                            Open Access                                                              Published: 15 December 1987                         A Mendelian polymorphism underlying quantitative variations of goat as1-casein                         F. Grosclaude  Marie-Françoise Mahé  Ghislaine Brignon  Liliana Di Stasio & R. Jeunet                                   Génétique  sélection  évolution                              volume 19  Article number: 399 (1987)             Cite this article                                                                                                      2245 Accesses                                                                                                     111 Citations                                                                                             Metrics details                                                                                                                                      Grosclaude  F.  Mahé  M.  Brignon  G.  A Mendelian polymorphism underlying quantitative variations of goat a-casein.                      399 (1987). https://doi.org/10.1186/1297-9686-19-4-399  Received Accepted Published  Quantitative Variation  Full Article"
"Cytogenetic observations on a Robertsonian translocation in Saanen goats"	"Authors: I. Burguete  D. Di Berardino  M.B. Lioi  L. Taibi and D. Matassino"	""	"No Co-Author"	"15 December 1987"	"(To access the full article  please see PDF)"	"Full Article  Robertsonian Translocation  Saanen Goat"	"                                                   Research                                            Open Access                                                              Published: 15 December 1987                         Cytogenetic observations on a Robertsonian translocation in Saanen goats                         I. Burguete  D. Di Berardino  M.B. Lioi  L. Taibi & D. Matassino                                   Génétique  sélection  évolution                              volume 19  Article number: 391 (1987)             Cite this article                                                                                                      2570 Accesses                                                                                                     7 Citations                                                                                             Metrics details                                                                                                                                      Burguete  I.  Di Berardino  D.  Lioi  M.  Cytogenetic observations on a Robertsonian translocation in  goats.                      391 (1987). https://doi.org/10.1186/1297-9686-19-4-391  Received Accepted Published  Full Article  Robertsonian Translocation  Saanen Goat"
"A new reciprocal translocation involving chromosomes 1/14 in a boar"	"Authors: C. Tarocco  Fabrizia Franchi and G. Croci"	""	"No Co-Author"	"15 September 1987"	"(To access the full article  please see PDF)"	"Full Article  Reciprocal Translocation"	"                                                   Research                                            Open Access                                                              Published: 15 September 1987                         A new reciprocal translocation involving chromosomes 1/14 in a boar                         C. Tarocco  Fabrizia Franchi & G. Croci                                   Génétique  sélection  évolution                              volume 19  Article number: 381 (1987)             Cite this article                                                                                                      1054 Accesses                                                                                                     4 Citations                                                                                             Metrics details                                                                                                                                      Tarocco  C.  Franchi  F. & Croci  G. A new reciprocal translocation involving chromosomes 1/14 in a boar.                      381 (1987). https://doi.org/10.1186/1297-9686-19-3-381  Received Accepted Published  Full Article  Reciprocal Translocation"
"Effet du gène Na (cou nu) chez des coqs élevés à deux températures. II. Caractéristiques du sperme et reproduction"	"Authors: H. Hammade  M. Petttjean  Madeleine Douaire  J. Mallard  P. Mérat  G. Malineau and P. Méteau"	""	"No Co-Author"	"15 September 1987"	"(To access the full article  please see PDF)"	"Full Article"	"                                                   Research                                            Open Access                                                              Published: 15 September 1987                         Effet du gène Na (cou nu) chez des coqs élevés à deux températures. II. Caractéristiques du sperme et reproduction                         H. Hammade  M. Petttjean  Madeleine Douaire  J. Mallard  P. Mérat  G. Malineau & P. Méteau                                   Génétique  sélection  évolution                              volume 19  Article number: 365 (1987)             Cite this article                                                                                                      4700 Accesses                                                                                                     4 Citations                                                                                             Metrics details                                                                                                                                      Hammade  H.  Petttjean  M.  Douaire  M.  Effet du gène  () chez des coqs élevés à deux températures. II. Caractéristiques du sperme et reproduction.                      365 (1987). https://doi.org/10.1186/1297-9686-19-3-365  Received Accepted Published  Full Article"
