"Title"	"Authors"	"Author_Affiliation"	"Correspondence_Author"	"Publish_Date"	"Abstract"	"Keywords"	"Full_Paper"
"Guidelines for gene nomenclature in ruminants 1991"	"Authors: E Andresen  T Broad  L Di Stasio  CHS Dolling  D Hill  K Huston  B Larsen  JJ Lauvergne  H Levéziel  X Malher  P Millar  AL Rae  C Renieri and EM Tucker"	""	"No Co-Author"	"15 December 1991"	"(To access the full article  please see PDF)"	"Full Article  Gene Nomenclature"	"                                                   Research                                            Open Access                                                              Published: 15 December 1991                         Guidelines for gene nomenclature in ruminants 1991                         E Andresen  T Broad  L Di Stasio  CHS Dolling  D Hill  K Huston  B Larsen  JJ Lauvergne  H Levéziel  X Malher  P Millar  AL Rae  C Renieri & EM Tucker                                   Genetics Selection Evolution                              volume 23  Article number: 461 (1991)             Cite this article                                                                                                      1102 Accesses                                                                                                     1 Citations                                                                                             Metrics details                                                                                                                                      Andresen  E.  Broad  T.  Stasio  L.D.  Guidelines for gene nomenclature in ruminants 1991.                      461 (1991). https://doi.org/10.1186/1297-9686-23-5-461  Received Accepted Published  Full Article  Gene Nomenclature"
"Caractéristiques de ponte comparées pour des poules naines (dw) et de taille normale (Dw+) dans une lignée Leghorn Blanche et dans un croisement de 1re génération Leghorn × Fayoumi"	"Authors: P Mérat  A Bordas and B Rivet"	""	"No Co-Author"	"15 December 1991"	"(To access the full article  please see PDF)"	"Full Article"	"                                                   Research                                            Open Access                                                              Published: 15 December 1991                         Caractéristiques de ponte comparées pour des poules naines (dw) et de taille normale (Dw+) dans une lignée Leghorn Blanche et dans un croisement de 1re génération Leghorn × Fayoumi                         P Mérat  A Bordas & B Rivet                                   Genetics Selection Evolution                              volume 23  Article number: 455 (1991)             Cite this article                                                                                                      1264 Accesses                                                                                                     2 Citations                                                                                             Metrics details                                                                                                                                      Mérat  P.  Bordas  A. & Rivet  B. Caractéristiques de ponte comparées pour des poules naines (dw) et de taille normale (Dw+) dans une lignée Leghorn Blanche et dans un croisement de 1 génération Leghorn × Fayoumi.                      455 (1991). https://doi.org/10.1186/1297-9686-23-5-455  Received Accepted Published  Full Article"
"Cytogenetic investigation in Saanen and Alpine artificial insemination bucks. Identification of a Robertsonian translocation"	"Authors: E Guillemot  F Gary  HM Berland  V Durand  R Darré and EP Cribiu"	""	"No Co-Author"	"15 December 1991"	"(To access the full article  please see PDF)"	"Full Article  Artificial Insemination  Robertsonian Translocation  Cytogenetic Investigation"	"                                                   Research                                            Open Access                                                              Published: 15 December 1991                         Cytogenetic investigation in Saanen and Alpine artificial insemination bucks. Identification of a Robertsonian translocation                         E Guillemot  F Gary  HM Berland  V Durand  R Darré & EP Cribiu                                   Genetics Selection Evolution                              volume 23  Article number: 449 (1991)             Cite this article                                                                                                      1150 Accesses                                                                                                     5 Citations                                                                                             Metrics details                                                                                                                                      Guillemot  E.  Gary  F.  Berland  H.  Cytogenetic investigation in Saanen and Alpine artificial insemination bucks. Identification of a Robertsonian translocation.                      449 (1991). https://doi.org/10.1186/1297-9686-23-5-449  Received Accepted Published  Full Article  Artificial Insemination  Robertsonian Translocation  Cytogenetic Investigation"
"Mosaicism of 50 XX/51 XX in a Murrah buffalo Bubalus bubalis"	"Authors: BR Yadav  S Kumar  OS Tomer and CR Balakrishnan"	""	"No Co-Author"	"15 December 1991"	"(To access the full article  please see PDF)"	"Full Article  Murrah Buffalo"	"                                                   Research                                            Open Access                                                              Published: 15 December 1991                         Mosaicism of 50 XX/51 XX in a Murrah buffalo Bubalus bubalis                         BR Yadav  S Kumar  OS Tomer & CR Balakrishnan                                   Genetics Selection Evolution                              volume 23  Article number: 443 (1991)             Cite this article                                                                                                      1532 Accesses                                                                                                              Metrics details                                                                                                                                      Yadav  B.  Kumar  S.  Tomer  O.  Mosaicism of 50 XX/51 XX in a Murrah buffalo .                      443 (1991). https://doi.org/10.1186/1297-9686-23-5-443  Received Accepted Published  Full Article  Murrah Buffalo"
"Réponse à une sélection divergente sur la perte de poids des oeufs de la caille japonaise en conservation"	"Authors: P Mérat  JL Monvoisin and J Costa da Silva"	""	"No Co-Author"	"15 December 1991"	"(To access the full article  please see PDF)"	"Full Article"	"                                                   Research                                            Open Access                                                              Published: 15 December 1991                         Réponse à une sélection divergente sur la perte de poids des oeufs de la caille japonaise en conservation                         P Mérat  JL Monvoisin & J Costa da Silva                                   Genetics Selection Evolution                              volume 23  Article number: 431 (1991)             Cite this article                                                                                                      1853 Accesses                                                                                                     1 Citations                                                                                             Metrics details                                                                                                                                      Mérat  P.  Monvoisin  J. & da Silva  J.C. Réponse à une sélection divergente sur la perte de poids des oeufs de la caille japonaise en conservation.                      431 (1991). https://doi.org/10.1186/1297-9686-23-5-431  Received Accepted Published  Full Article"
"Genetic parameters for twinning in the Maine-Anjou breed"	"Authors: E Manfredi  JL Foulley  M San Cristobal and P Gillard"	""	"No Co-Author"	"15 December 1991"	"(To access the full article  please see PDF)"	"Genetic Parameter  Full Article"	"                                                   Research                                            Open Access                                                              Published: 15 December 1991                         Genetic parameters for twinning in the Maine-Anjou breed                         E Manfredi  JL Foulley  M San Cristobal & P Gillard                                   Genetics Selection Evolution                              volume 23  Article number: 421 (1991)             Cite this article                                                                                                      924 Accesses                                                                                                     2 Citations                                                                                             Metrics details                                                                                                                                      Manfredi  E.  Foulley  J.  San Cristobal  M.  Genetic parameters for twinning in the Maine-Anjou breed.                      421 (1991). https://doi.org/10.1186/1297-9686-23-5-421  Received Accepted Published  Genetic Parameter  Full Article"
"The use of fixed effect models and mixed models to estimate single gene associated effects on polygenic traits"	"Authors: HB Bentsen and G Klemetsdal"	""	"No Co-Author"	"15 December 1991"	"(To access the full article  please see PDF)"	"Fixed Effect  Single Gene  Fixed Effect Model  Full Article  Associate Effect"	"                                                   Research                                            Open Access                                                              Published: 15 December 1991                         The use of fixed effect models and mixed models to estimate single gene associated effects on polygenic traits                         HB Bentsen & G Klemetsdal                                   Genetics Selection Evolution                              volume 23  Article number: 407 (1991)             Cite this article                                                                                                      1108 Accesses                                                                                                     7 Citations                                                                                             Metrics details                                                                                                                                      Bentsen  H.  Klemetsdal  G. The use of fixed effect models and mixed models to estimate single gene associated effects on polygenic traits.                      407 (1991). https://doi.org/10.1186/1297-9686-23-5-407  Received Accepted Published  Fixed Effect  Single Gene  Fixed Effect Model  Full Article  Associate Effect"
"Estimation of relatedness in natural populations using highly polymorphic genetic markers"	"Authors: P Capy and JFY Brookfield"	""	"No Co-Author"	"15 December 1991"	"(To access the full article  please see PDF)"	"Natural Population  Genetic Marker  Full Article  Polymorphic Genetic Marker"	"                                                   Research                                            Open Access                                                              Published: 15 December 1991                         Estimation of relatedness in natural populations using highly polymorphic genetic markers                         P Capy & JFY Brookfield                                   Genetics Selection Evolution                              volume 23  Article number: 391 (1991)             Cite this article                                                                                                      1069 Accesses                                                                                                     4 Citations                                                                                             Metrics details                                                                                                                                      Capy  P.  Brookfield  J. Estimation of relatedness in natural populations using highly polymorphic genetic markers.                      391 (1991). https://doi.org/10.1186/1297-9686-23-5-391  Received Accepted Published  Natural Population  Genetic Marker  Full Article  Polymorphic Genetic Marker"
"Sequential QFQ-RBA-banding pattern in prometaphase chromosomes of cattle (Bos taurus L)"	"Authors: D Di Berardino  MB Lioi and D Matassino"	""	"No Co-Author"	"15 December 1991"	"(To access the full article  please see PDF)"	"Full Article  Prometaphase Chromosome"	"                                                   Research                                            Open Access                                                              Published: 15 December 1991                         Sequential QFQ-RBA-banding pattern in prometaphase chromosomes of cattle (Bos taurus L)                         D Di Berardino  MB Lioi & D Matassino                                   Genetics Selection Evolution                              volume 23  Article number: 385 (1991)             Cite this article                                                                                                      1145 Accesses                                                                                                              Metrics details                                                                                                                                      Di Berardino  D.  Lioi  M. & Matassino  D. Sequential QFQ-RBA-banding pattern in prometaphase chromosomes of cattle ( L).                      385 (1991). https://doi.org/10.1186/1297-9686-23-5-385  Received Accepted Published  Full Article  Prometaphase Chromosome"
"Epistatic interaction between unlinked inversions in Indian natural populations of Drosophila melanogaster"	"Authors: BN Singh and A Das"	""	"No Co-Author"	"15 December 1991"	"(To access the full article  please see PDF)"	"Natural Population  Epistatic Interaction  Full Article  Indian Natural Population"	"                                                   Research                                            Open Access                                                              Published: 15 December 1991                         Epistatic interaction between unlinked inversions in Indian natural populations of Drosophila melanogaster                         BN Singh & A Das                                   Genetics Selection Evolution                              volume 23  Article number: 371 (1991)             Cite this article                                                                                                      962 Accesses                                                                                                     5 Citations                                                                                             Metrics details                                                                                                                                      Singh  B.  Das  A. Epistatic interaction between unlinked inversions in Indian natural populations of .                      371 (1991). https://doi.org/10.1186/1297-9686-23-5-371  Received Accepted Published  Natural Population  Epistatic Interaction  Full Article  Indian Natural Population"
